user_id,run_id,weather,map_name,error_type,model_pred,model_prob,emotion_label,emotion_prob,speed_kmh,timestamp,frame,sim_time_seconds,x,y,z,road_id,lane_id,details,model_pred_start,model_pred_end,model_prob_start,model_prob_end,error_index,during_distraction,overlapping_distraction_count,matched_distraction_index,nearest_distraction_index,seconds_from_distraction_start,seconds_to_distraction_end,seconds_to_nearest_distraction,distraction_timestamp_start,distraction_timestamp_end,distraction_distraction_duration_s,distraction_hr_bpm_start,distraction_hr_bpm_end,distraction_hr_bpm_avg,distraction_arousal_start,distraction_arousal_end,distraction_arousal_avg,distraction_model_pred_start,distraction_model_pred_end,distraction_model_prob_start,distraction_model_prob_end,distraction_emotion_label_start,distraction_emotion_label_end,distraction_emotion_prob_start,distraction_emotion_prob_end,distraction_details,during_distraction_int
participant_01,1,day,Town10HD,Stop sign violation,None,1.0,neutral,0.999,50.54,2026-02-10 16:08:01.295681,2772,68.2161505445838,26.23837280273437,69.88529968261719,0.0017784117953851,12,1,stop_sign_id=946,None,None,1.0,1.0,0,False,0,,0.0,,,11.531072,,,,,,,,,,,,,,,,,,,0
participant_01,1,day,Town10HD,Solid line crossing,sing,0.867,neutral,0.729,50.413,2026-02-10 16:08:05.282011,2826,70.10615055263042,42.67228317260742,51.94205093383789,0.001794624258764,9,-1,SolidSolid,sing,sing,0.867,0.867,1,False,0,,0.0,,,7.544742,,,,,,,,,,,,,,,,,,,0
participant_01,1,day,Town10HD,Harsh braking,reach_back,0.914,sad,0.791,13.051,2026-02-10 16:08:15.951209,2970,75.1461505740881,80.46634674072266,24.990907669067383,0.0019389343215152,21,-1,decel_mps2=44.222,reach_back,reach_back,0.914,0.914,2,False,0,,0.0,,,1.365768,,,,,,,,,,,,,,,,,,,0
participant_01,1,day,Town10HD,Red light violation,None,1.0,neutral,0.996,50.251,2026-02-10 16:09:04.061758,3642,98.6661506742239,-31.00755500793457,-67.8724136352539,0.0018301010131835,90,2,traffic_light_id=34,None,None,1.0,1.0,3,False,0,,4.0,,,5.47865,,,,,,,,,,,,,,,,,,,0
participant_01,1,day,Town10HD,Solid line crossing,reach_back,0.954,happy,0.927,49.999,2026-02-10 16:09:12.109880,3764,102.93615069240332,-89.73950958251953,-64.43356323242188,0.0018439101986587,6,2,Solid,reach_back,reach_back,0.954,0.954,4,False,0,,4.0,,,0.547191,,,,,,,,,,,,,,,,,,,0
participant_01,1,day,Town10HD,Red light violation,None,1.0,neutral,0.999,34.266,2026-02-10 16:09:37.418421,4101,114.73115074262024,-110.97048950195312,-2.978771209716797,0.0015947341453284,6,1,traffic_light_id=43,None,None,1.0,1.0,5,False,0,,6.0,,,1.143234,,,,,,,,,,,,,,,,,,,0
participant_01,1,day,Town10HD,Solid line crossing,None,1.0,happy,0.695,22.08,2026-02-10 16:10:51.989616,5159,151.76115090027452,105.83113098144533,54.43365097045898,0.0021240997593849,675,-1,SolidSolid,None,None,1.0,1.0,6,False,0,,10.0,,,7.670259,,,,,,,,,,,,,,,,,,,0
participant_01,1,day,Town10HD,Solid line crossing,reach_back,0.953,happy,0.895,16.514,2026-02-10 16:11:04.443345,5351,158.48115092888474,105.02669525146484,48.56696319580078,0.0015866851899772,2,-1,SolidSolid,reach_back,reach_back,0.953,0.953,7,False,0,,11.0,,,0.435755,,,,,,,,,,,,,,,,,,,0
participant_01,1,day,Town10HD,Red light violation,None,1.0,fear,0.998,24.92,2026-02-10 16:11:06.183839,5378,159.42615093290806,104.5197525024414,43.3636474609375,0.0015927505446597,2,-1,traffic_light_id=36,None,None,1.0,1.0,8,False,0,,11.0,,,2.176249,,,,,,,,,,,,,,,,,,,0
participant_01,1,day,Town10HD,Solid line crossing,sing,0.85,neutral,0.884,31.757,2026-02-10 16:11:24.827967,5639,168.5611509718001,42.419559478759766,40.72325897216797,0.0019158935174345,843,-1,SolidSolid,sing,sing,0.85,0.85,9,False,0,,12.0,,,11.113064,,,,,,,,,,,,,,,,,,,0
participant_01,1,day,Town10HD,Solid line crossing,None,1.0,neutral,0.757,45.034,2026-02-10 16:11:32.582546,5752,172.5161509886384,26.639034271240234,68.88040924072266,0.0018083571922034,12,1,SolidSolid,None,None,1.0,1.0,10,False,0,,13.0,,,6.015485,,,,,,,,,,,,,,,,,,,0
participant_01,1,day,Town10HD,Solid line crossing,None,1.0,neutral,0.68,42.051,2026-02-10 16:11:43.488499,5907,177.9411510117352,-39.53084564208984,81.42818450927734,0.0016441345214843,934,-3,Solid,None,None,1.0,1.0,11,False,0,,14.0,,,2.383253,,,,,,,,,,,,,,,,,,,0
participant_01,1,day,Town10HD,Solid line crossing,None,1.0,happy,0.603,48.873,2026-02-10 16:11:55.367687,6091,184.3811510391533,-10.357601165771484,129.99378967285156,0.0018671416910365,4,-2,Solid,None,None,1.0,1.0,12,False,0,,14.0,,,8.238925,,,,,,,,,,,,,,,,,,,0
participant_01,1,day,Town10HD,Solid line crossing,None,1.0,neutral,0.618,50.662,2026-02-10 16:11:59.612089,6154,186.58615104854107,19.54256057739257,134.08619689941406,0.0017623901367187,1,1,SolidSolid,None,None,1.0,1.0,13,False,0,,15.0,,,7.140486,,,,,,,,,,,,,,,,,,,0
participant_01,1,day,Town10HD,Harsh braking,None,1.0,fear,0.988,14.62,2026-02-10 16:12:22.960499,6513,199.15115110203624,105.87456512451172,48.9163703918457,0.0019080734346061,2,-1,decel_mps2=4.252,None,None,1.0,1.0,14,False,0,,16.0,,,3.257685,,,,,,,,,,,,,,,,,,,0
participant_01,1,day,Town10HD,Solid line crossing,None,1.0,happy,0.624,48.232,2026-02-10 16:12:43.720949,6855,211.1211511529982,101.28937530517578,-42.64350509643555,0.0018344115233048,10,-1,SolidSolid,None,None,1.0,1.0,15,False,0,,17.0,,,0.282082,,,,,,,,,,,,,,,,,,,0
participant_01,1,day,Town10HD,Solid line crossing,None,1.0,happy,0.658,33.882,2026-02-10 16:12:58.592661,7080,218.99615118652585,18.403409957885746,-63.93985748291016,0.0019742201548069,10,-1,SolidSolid,None,None,1.0,1.0,16,False,0,,18.0,,,8.316819,,,,,,,,,,,,,,,,,,,0
participant_01,1,day,Town10HD,Solid line crossing,None,1.0,happy,0.908,9.271,2026-02-10 16:13:04.628591,7175,222.32115120068192,0.2446778863668441,-61.44758224487305,0.0018065642798319,17,1,SolidSolid,None,None,1.0,1.0,17,False,0,,18.0,,,14.352749,,,,,,,,,,,,,,,,,,,0
participant_01,1,day,Town10HD,Solid line crossing,None,1.0,happy,0.66,40.167,2026-02-10 16:18:35.223060,22517,519.2823983281851,-5.4136810302734375,70.24703216552734,0.0013885878724977,12,1,Solid,None,None,1.0,1.0,18,False,0,,19.0,,,24.278085,,,,,,,,,,,,,,,,,,,0
participant_01,1,day,Town10HD,Solid line crossing,None,1.0,happy,0.606,48.615,2026-02-10 16:18:40.833221,22580,521.4873983375728,24.615129470825195,70.62763214111328,0.0019849014934152,12,1,Solid,None,None,1.0,1.0,19,False,0,,19.0,,,18.667924,,,,,,,,,,,,,,,,,,,0
participant_01,1,day,Town10HD,Stop sign violation,None,1.0,neutral,0.998,47.969,2026-02-10 16:18:41.208478,22584,521.6273983381689,26.48205947875977,70.45703125,0.0025648879818618,12,1,stop_sign_id=946,None,None,1.0,1.0,20,False,0,,19.0,,,18.292667,,,,,,,,,,,,,,,,,,,0
participant_01,1,day,Town10HD,Harsh braking,None,1.0,neutral,1.0,27.238,2026-02-10 16:18:44.084691,22618,522.8173983432353,37.7531852722168,65.47930145263672,0.0022401427850127,151,-1,decel_mps2=5.516,None,None,1.0,1.0,21,False,0,,19.0,,,15.416454,,,,,,,,,,,,,,,,,,,0
